Species,Factor_Score,Rebuilding_Target_Year
arrowtooth flounder,0,NA
aurora rockfish,0,NA
bank rockfish,0,NA
big skate,0,NA
black rockfish,0,NA
blackgill rockfish,0,NA
blue and deacon rockfish,0,NA
bocaccio,0,NA
brown rockfish,0,NA
cabezon,0,NA
California scorpionfish,0,NA
canary rockfish,0,NA
chilipepper,0,NA
China rockfish,0,NA
copper rockfish,0,NA
cowcod,0,NA
curlfin sole,0,NA
darkblotched rockfish,0,NA
Dover sole,0,NA
English sole,0,NA
flag rockfish,0,NA
flathead sole,0,NA
gopher and black and yellow rockfish,0,NA
grass rockfish,0,NA
greenspotted rockfish,0,NA
greenstriped rockfish,0,NA
honeycomb rockfish,0,NA
kelp greenling,0,NA
kelp rockfish,0,NA
leopard shark,0,NA
lingcod,0,NA
longnose skate,0,NA
longspine thornyhead,0,NA
olive rockfish,0,NA
Pacific cod,0,NA
Pacific ocean perch,0,NA
Pacific sanddab,0,NA
Pacific spiny dogfish,0,NA
petrale sole,0,NA
quillback rockfish,10,2060
redbanded rockfish,0,NA
redstripe rockfish,0,NA
rex sole,0,NA
rock sole,0,NA
rosethorn rockfish,0,NA
rosy rockfish,0,NA
rougheye and black spotted rockfish,0,NA
sablefish,0,NA
sand sole,0,NA
sharpchin rockfish,0,NA
shortraker rockfish,0,NA
shortspine thornyhead,0,NA
silvergray rockfish,0,NA
speckled rockfish,0,NA
splitnose rockfish,0,NA
squarespot rockfish,0,NA
starry flounder,0,NA
starry rockfish,0,NA
stripetail rockfish,0,NA
treefish,0,NA
vermilion and sunset rockfish,0,NA
widow rockfish,0,NA
yelloweye rockfish,10,2029
yellowmouth rockfish,0,NA
yellowtail rockfish,0,NA
