"Species","Rank","Factor_Score","Assessed_Last_Cycle","Revenue","CA_Revenue","OR_Revenue","WA_Revenue"
"arrowtooth flounder",26,5.73,0,370,16.4,336.7,16.9
"aurora rockfish",42,4.22,0,76.9,43.9,29.9,3
"bank rockfish",34,5.23,0,220.3,217,3.2,0.2
"big skate",24,6.14,0,564.8,62,463.7,39.1
"black rockfish",23,6.14,-2,4186.1,1183.3,3002.8,0
"blackgill rockfish",20,6.35,0,698.1,688.5,9.4,0.3
"blue and deacon rockfish",21,6.32,0,677.6,530.9,146.7,0
"bocaccio",11,7.52,0,2349.6,2274.9,59.3,15.4
"brown rockfish",14,7.03,0,1420.1,1419,1.1,0
"cabezon",9,7.76,0,2992,1757.8,1234.3,0
"California scorpionfish",39,4.52,0,104.7,104.7,0,0
"canary rockfish",28,5.56,-2,2294.9,1077.4,1070.4,147.1
"chilipepper",7,7.86,0,3331.8,3257,74.7,0.1
"China rockfish",22,6.3,0,663.8,215.3,448.6,0
"copper rockfish",37,4.59,-2,839.4,753.3,86,0
"cowcod",63,1.62,0,4.3,4.3,0.1,0
"curlfin sole",61,2.04,0,7.2,7,0.2,0
"darkblotched rockfish",19,6.69,0,995,140.4,794.6,59.9
"Dover sole",2,9.82,0,25293.5,7432.3,16738.4,1122.8
"English sole",27,5.6,0,324,137,182.7,4.4
"flag rockfish",62,2.02,0,7,7,0,0
"flathead sole",55,3.13,0,24.4,0,24.4,0
"gopher and black and yellow rockfish",8,7.85,0,3298,3294.2,3.8,0
"grass rockfish",16,6.82,0,1133,1125,8,0
"greenspotted rockfish",36,4.86,0,149.2,146,3.2,0
"greenstriped rockfish",53,3.43,0,33.5,15.5,16,2
"honeycomb rockfish",64,1,0,1.8,1.8,0,0
"kelp greenling",18,6.71,0,1018.6,219.8,798.8,0
"kelp rockfish",49,3.74,0,46.3,46.3,0,0
"leopard shark",50,3.69,0,43.9,43.9,0,0
"lingcod",4,8.99,0,10691.6,3989.5,6280.7,421.4
"longnose skate",12,7.36,0,1991,269.6,1568.5,152.9
"longspine thornyhead",17,6.74,0,1048.4,801.5,239.8,7.1
"olive rockfish",44,4.07,0,65.7,65.5,0.2,0
"Pacific cod",47,3.78,0,48.6,6.4,40.2,1.9
"Pacific ocean perch",15,6.93,0,1282.4,1.6,1086.6,194.1
"Pacific sanddab",25,6.06,0,519.9,422.3,97.6,0
"Pacific spiny dogfish",57,2.86,0,18.2,15.6,2,0.6
"petrale sole",6,8.21,-2,35277.4,8813,24906,1558.4
"quillback rockfish",29,5.5,0,290.4,197.5,92.9,0
"redbanded rockfish",31,5.35,0,250.1,71.6,132.5,46
"redstripe rockfish",48,3.76,0,47.4,0,40.3,7.1
"rex sole",35,5.01,-2,1298.9,287.6,985.9,25.4
"rock sole",58,2.42,0,11.2,10.1,1,0
"rosethorn rockfish",46,3.88,0,53.7,3,14.9,35.8
"rosy rockfish",56,3.12,0,24,24,0,0
"rougheye and black spotted rockfish",30,5.47,0,281.8,16.6,173.5,91.7
"sablefish",3,9.17,-2,94930.3,31465.5,47565.4,15899.4
"sand sole",40,4.33,0,86.6,85.8,0.8,0
"sharpchin rockfish",54,3.42,0,33,0,29.1,3.9
"shortraker rockfish",51,3.58,0,39,0.8,26.6,11.7
"shortspine thornyhead",13,7.09,-2,11136.9,9282.4,1703.3,151.2
"silvergray rockfish",32,5.35,0,250,0.2,158.7,91.1
"speckled rockfish",52,3.55,0,37.8,37.8,0,0
"splitnose rockfish",38,4.57,0,110.3,21.5,67.3,21.5
"squarespot rockfish",65,0.1,0,0.1,0.1,0,0
"starry flounder",43,4.22,0,76.6,75,1.5,0.1
"starry rockfish",41,4.25,0,79.7,79.7,0,0
"stripetail rockfish",59,2.31,0,9.9,2.5,7.3,0
"treefish",33,5.35,0,247.9,247.9,0,0
"vermilion and sunset rockfish",10,7.61,0,2582.3,2557.3,25.1,0
"widow rockfish",1,10,0,30348.7,1115.3,25023.8,4209.6
"yelloweye rockfish",60,2.09,0,7.6,0.5,5.1,2.1
"yellowmouth rockfish",45,3.95,0,58.1,0.2,52,5.9
"yellowtail rockfish",5,8.91,0,9866.6,764.3,7240,1862.3
