Species,Rank,Factor_Score,Recruit_Variation,Mean_Catch_Age,Mean_Maximum_Age,Initial_Target_Frequency,Recruit_Adjustment,Importance_Adjustment,Ecosystem_Adjustment,Total_Adjustment,Adjusted_Maximum_Age,Target_Assessment_Frequency,Last_Assessment_Year,Years_Since_Assessment,Years_Past_Target_Frequency,Ten_Years_or_Greater,Less_Than_6_Years_Update
arrowtooth flounder,13,3.6,0.8,8.1,25,4,0,0,-0.2,-0.2,20,4,2017,8,4,0,0
aurora rockfish,9,4.5,0.5,31.1,154,10,0,0.2,0,0.2,184.8,10,2013,12,2,3,0
bank rockfish,13,3.6,NA,NA,85,10,0,0,0,0,85,10,NA,NA,4,NA,0
big skate,42,2.7,0,4.3,12,4,0.2,-0.2,-0.2,-0.2,9.6,4,2019,6,2,0,1
black rockfish,51,0,0.6,8.1,28,6,0,-0.2,-0.2,-0.4,16.8,4,2023,2,0,0,0
blackgill rockfish,51,0,0.5,30.2,86,10,0,0,0,0,86,10,2017,8,0,0,0
blue and deacon rockfish,51,0,0.5,9.3,39.5,8,0,0,0,0,39.5,8,2017,8,0,0,0
bocaccio,13,3.6,1,3,30,6,-0.2,-0.2,-0.2,-0.6,12,4,2017,8,4,0,0
brown rockfish,3,8.2,NA,NA,39,8,0,0,0,0,39,6,2013,12,6,3,0
cabezon,44,1.8,0.5,4.7,23,4,0,-0.2,-0.2,-0.4,13.8,4,2019,6,2,0,0
California scorpionfish,13,3.6,0.6,7,23,4,0,-0.2,-0.2,-0.4,13.8,4,2017,8,4,0,0
canary rockfish,51,0,0.5,9.6,69,8,0,-0.2,0,-0.2,55.2,8,2023,2,0,0,0
chilipepper,3,8.2,1,9.1,34,6,-0.2,-0.2,-0.2,-0.6,13.6,4,2015,10,6,3,0
China rockfish,9,4.5,0.5,19.3,77,8,0,0,0,0,77,8,2015,10,2,3,0
copper rockfish,51,0,0.275,9.2,50,8,0.2,-0.2,0,0,50,8,2023,2,0,0,0
cowcod,45,0.9,0,16,61,8,0.2,0.2,0.2,0.6,97.6,10,2019,6,0,0,1
curlfin sole,13,3.6,NA,NA,10,4,0,0.2,0.2,0.4,14,4,NA,NA,4,NA,0
darkblotched rockfish,51,0,0.75,9.4,100,10,0,0,0,0,100,10,2017,8,0,0,0
Dover sole,45,0.9,0.35,13.7,50,8,0,-0.2,-0.2,-0.4,30,6,2021,4,0,0,1
English sole,3,8.2,NA,NA,21,4,0,0,0,0,21,6,2013,12,6,3,0
flag rockfish,13,3.6,NA,NA,18,4,0,0.2,0.2,0.4,25.2,6,NA,NA,4,NA,0
flathead sole,13,3.6,NA,NA,27,6,0,0.2,0.2,0.4,37.8,6,NA,NA,4,NA,0
gopher and black and yellow rockfish,45,0.9,0.5,11.8,28,6,0,0,0,0,28,6,2019,6,0,0,1
grass rockfish,13,3.6,NA,NA,23,4,0,0.2,0.2,0.4,32.2,6,NA,NA,4,NA,0
greenspotted rockfish,7,6.4,0.7,19.2,83,10,0,0.2,0.2,0.4,116.2,10,2011,14,4,3,0
greenstriped rockfish,1,10,0.84,16.8,68,8,0,0,0,0,68,8,2009,16,8,3,0
honeycomb rockfish,13,3.6,NA,NA,31,6,0,0.2,0.2,0.4,43.4,8,NA,NA,4,NA,0
kelp greenling,3,8.2,0.65,4.2,15,4,0,0,0.2,0.2,18,4,2015,10,6,3,0
kelp rockfish,13,3.6,NA,NA,20,4,0,0.2,0.2,0.4,28,6,NA,NA,4,NA,0
leopard shark,13,3.6,NA,NA,30,6,0,0.2,-0.2,0,30,6,NA,NA,4,NA,0
lingcod,45,0.9,0.6,5.3,22.5,4,0,-0.2,-0.2,-0.4,13.5,4,2021,4,0,0,1
longnose skate,42,2.7,0,10.1,25,4,0.2,-0.2,-0.2,-0.2,20,4,2019,6,2,0,1
longspine thornyhead,7,6.4,0.6,15.3,49,8,0,0,-0.2,-0.2,39.2,8,2013,12,4,3,0
olive rockfish,13,3.6,NA,NA,30,6,0,0.2,0.2,0.4,42,8,NA,NA,4,NA,0
Pacific cod,13,3.6,NA,NA,25,4,0,-0.2,-0.2,-0.4,15,4,NA,NA,4,NA,0
Pacific ocean perch,51,0,0.7,15.5,100,10,0,-0.2,0,-0.2,80,8,2017,8,0,0,0
Pacific sanddab,13,3.6,NA,NA,9,4,0,0,0,0,9,4,NA,NA,4,NA,0
Pacific spiny dogfish,51,0,0,22.4,83,10,0.2,0.2,-0.2,0.2,99.6,10,2021,4,0,0,0
petrale sole,45,0.9,0.5,7.7,38,8,0,-0.2,-0.2,-0.4,22.8,6,2023,2,0,0,1
quillback rockfish,51,0,0.4,13,95,10,0,-0.2,0.2,0,95,10,2021,4,0,0,0
redbanded rockfish,13,3.6,NA,NA,106,10,0,0,0.2,0.2,127.2,10,NA,NA,4,NA,0
redstripe rockfish,13,3.6,NA,NA,55,8,0,0.2,0.2,0.4,77,8,NA,NA,4,NA,0
rex sole,51,0,0.5,8.6,29,6,0,-0.2,-0.2,-0.4,17.4,4,2023,2,0,0,0
rock sole,13,3.6,NA,NA,26,6,0,0.2,0.2,0.4,36.4,6,NA,NA,4,NA,0
rosethorn rockfish,13,3.6,NA,NA,87,10,0,0,0,0,87,10,NA,NA,4,NA,0
rosy rockfish,13,3.6,NA,NA,14,4,0,0.2,0.2,0.4,19.6,4,NA,NA,4,NA,0
rougheye and black spotted rockfish,9,4.5,0.4,32.5,129,10,0,-0.2,0,-0.2,103.2,10,2013,12,2,3,0
sablefish,51,0,1.4,9.4,76,8,-0.2,-0.2,-0.2,-0.6,30.4,6,2023,2,0,0,0
sand sole,13,3.6,NA,NA,17,4,0,0,0.2,0.2,20.4,4,NA,NA,4,NA,0
sharpchin rockfish,9,4.5,0.8,13.3,68,8,0,0.2,0.2,0.4,95.2,10,2013,12,2,3,0
shortraker rockfish,13,3.6,NA,NA,157,10,0,0,0.2,0.2,188.4,10,NA,NA,4,NA,0
shortspine thornyhead,51,0,0.5,24.7,135,10,0,-0.2,-0.2,-0.4,81,10,2023,2,0,0,0
silvergray rockfish,13,3.6,NA,NA,82,10,0,0,0,0,82,10,NA,NA,4,NA,0
speckled rockfish,13,3.6,NA,NA,37,6,0,0,0.2,0.2,44.4,8,NA,NA,4,NA,0
splitnose rockfish,1,10,1,15.9,112,10,-0.2,0,-0.2,-0.4,67.2,8,2009,16,8,3,0
squarespot rockfish,51,0,0,11.6,41,8,0.2,0.2,0,0.4,57.4,8,2021,4,0,0,0
starry flounder,13,3.6,NA,NA,42,8,0,0.2,0.2,0.4,58.8,8,NA,NA,4,NA,0
starry rockfish,13,3.6,NA,NA,32,6,0,0.2,0,0.2,38.4,6,NA,NA,4,NA,0
stripetail rockfish,13,3.6,NA,NA,38,8,0,0.2,0,0.2,45.6,8,NA,NA,4,NA,0
treefish,13,3.6,NA,NA,25,4,0,0.2,0.2,0.4,35,6,NA,NA,4,NA,0
vermilion and sunset rockfish,51,0,0.55,7.4,59,8,0,0,-0.2,-0.2,47.2,8,2021,4,0,0,0
widow rockfish,45,0.9,0.6,10,37,6,0,-0.2,-0.2,-0.4,22.2,6,2019,6,0,0,1
yelloweye rockfish,51,0,0.5,19.8,123,10,0,-0.2,0,-0.2,98.4,10,2017,8,0,0,0
yellowmouth rockfish,13,3.6,NA,NA,99,10,0,0.2,0.2,0.4,138.6,10,NA,NA,4,NA,0
yellowtail rockfish,13,3.6,0.4997,12.3,31,6,0,-0.2,-0.2,-0.4,18.6,4,2017,8,4,0,0
