Species,Rank,Factor_Score,Choke_Stock_Score,Commerical_Importance_Score,Recreational_Importance_Score,Future_ACL_Attainment
arrowtooth flounder,30,1,0,1,0,8
aurora rockfish,30,1,0,1,0,41
bank rockfish,30,1,0,1,0,9
big skate,30,1,0,1,0,15
black rockfish,7,4,4,0,0,101
blackgill rockfish,56,0,0,0,0,29
blue and deacon rockfish,30,1,0,0,1,53
bocaccio,20,2,0,1,1,27
brown rockfish,30,1,1,0,0,74
cabezon,30,1,0,0,1,24
California scorpionfish,30,1,0,1,0,46
canary rockfish,5,5,4,1,0,111
chilipepper,56,0,0,0,0,24
China rockfish,20,2,1,1,0,73
copper rockfish,13,3,3,0,0,95
cowcod,30,1,0,1,0,8
curlfin sole,30,1,0,1,0,58
darkblotched rockfish,56,0,0,0,0,47
Dover sole,56,0,0,0,0,11
English sole,30,1,0,1,0,3
flag rockfish,30,1,0,1,0,40
flathead sole,13,3,2,1,0,88
gopher and black and yellow rockfish,30,1,1,0,0,76
grass rockfish,56,0,0,0,0,25
greenspotted rockfish,30,1,0,1,0,15
greenstriped rockfish,13,3,0,3,0,8
honeycomb rockfish,56,0,0,0,0,38
kelp greenling,56,0,0,0,0,10
kelp rockfish,30,1,0,1,0,22
leopard shark,30,1,0,1,0,21
lingcod,30,1,0,1,0,29
longnose skate,30,1,0,0,1,41
longspine thornyhead,30,1,0,1,0,8
olive rockfish,30,1,0,1,0,26
Pacific cod,30,1,0,1,0,3
Pacific ocean perch,56,0,0,0,0,13
Pacific sanddab,20,2,0,2,0,4
Pacific spiny dogfish,13,3,1,2,0,72
petrale sole,7,4,4,0,0,116
quillback rockfish,5,5,5,0,0,532
redbanded rockfish,1,6,4,2,0,103
redstripe rockfish,30,1,0,1,0,21
rex sole,56,0,0,0,0,10
rock sole,13,3,0,3,0,8
rosethorn rockfish,1,6,5,1,0,127
rosy rockfish,30,1,0,1,0,29
rougheye and black spotted rockfish,7,4,2,2,0,83
sablefish,30,1,0,1,0,15
sand sole,20,2,0,2,0,5
sharpchin rockfish,20,2,0,2,0,15
shortraker rockfish,13,3,0,3,0,62
shortspine thornyhead,20,2,2,0,0,81
silvergray rockfish,20,2,0,2,0,46
speckled rockfish,30,1,0,1,0,23
splitnose rockfish,56,0,0,0,0,9
squarespot rockfish,1,6,5,1,0,258
starry flounder,20,2,0,1,1,3
starry rockfish,20,2,1,1,0,77
stripetail rockfish,1,6,5,1,0,135
treefish,7,4,3,1,0,98
vermilion and sunset rockfish,7,4,4,0,0,122
widow rockfish,13,3,3,0,0,92
yelloweye rockfish,7,4,0,3,1,43
yellowmouth rockfish,20,2,0,2,0,17
yellowtail rockfish,30,1,0,1,0,49
