Species,Factor_Score,Currently_Rebuilding,Rebuilding_Target_Year,Stock_Trend
Arrowtooth flounder,0,0,,
Aurora rockfish,0,0,,
Bank rockfish,0,0,,
Big skate,0,0,,
Black rockfish,0,0,,
Blackgill rockfish,0,0,,
Blue/Deacon rockfish,0,0,,
Bocaccio,0,0,,
Brown rockfish,0,0,,
Cabezon,0,0,,
California scorpionfish,0,0,,
Canary rockfish,0,0,,
Chilipepper rockfish ,0,0,,
China rockfish,0,0,,
Copper rockfish,0,0,,
Cowcod ,0,0,,
Curlfin sole,0,0,,
Darkblotched rockfish,0,0,,
Dover sole,0,0,,
English sole,0,0,,
Flag rockfish,0,0,,
Flathead Sole,0,0,,
Gopher/Black and yellow rockfish,0,0,,
Grass rockfish,0,0,,
Greenspotted rockfish,0,0,,
Greenstriped rockfish,0,0,,
Honeycomb rockfish,0,0,,
Kelp greenling,0,0,,
Kelp rockfish,0,0,,
Leopard shark,0,0,,
Lingcod ,0,0,,
Longnose skate,0,0,,
Longspine thornyhead,0,0,,
Olive rockfish,0,0,,
Pacific cod,0,0,,
Pacific Ocean perch,0,0,,
Pacific sanddab,0,0,,
Pacific spiny dogfish,0,0,,
Petrale sole,0,0,,
Quillback rockfish,4,1,TBD,Declining
Redbanded rockfish,0,0,,
Redstripe rockfish,0,0,,
Rex Sole,0,0,,
Rock Sole,0,0,,
Rosethorn rockfish,0,0,,
Rosy rockfish,0,0,,
Rougheye/Blackspotted rockfish,0,0,,
Sablefish ,0,0,,
Sand Sole,0,0,,
Sharpchin rockfish,0,0,,
Shortraker rockfish,0,0,,
Shortspine thornyhead ,0,0,,
Silvergray rockfish,0,0,,
Speckled rockfish,0,0,,
Splitnose rockfish,0,0,,
Squarespot rockfish,0,0,,
Starry flounder,0,0,,
Starry rockfish,0,0,,
Stripetail rockfish,0,0,,
Treefish rockfish,0,0,,
Vermilion/Sunset rockfish,0,0,,
Widow rockfish,0,0,,
Yelloweye rockfish,6,1,2029,
Yellowmouth rockfish,0,0,,
Yellowtail rockfish,0,0,,
