Species,Rank,Factor_Score,Initial_Factor_Score,Pseudo_Revenue_Coastwide,Pseudo_Revenue_CA,Pseudo_Revenue_OR,Pseudo_Revenue_WA,Species_Importance_CA,Species_Importance_OR,Species_Importance_WA,Retained_Catch_Coastwide,Retained_Catch_CA,Retained_Catch_OR,Retained_Catch_WA
lingcod,1,10,4.963608326,7337.391477,4100.042249,1709.789396,1527.559832,1.97,2,2,3699.914334,2081.23972,854.8946979,763.7799162
black rockfish,2,9.746573131,4.837817154,6362.210827,1011.414494,3248.604513,2102.191819,2,1.9,1.8,3383.38344,505.7072472,1709.791849,1167.884344
vermilion rockfish,3,8.400410665,4.169634832,2786.050672,2736.777337,43.20983784,6.063497717,1.9,1.15,1.15,1483.255503,1440.409124,37.57377204,5.27260671
blue rockfish,4,7.575400825,3.76013226,1568.8192,1391.03509,166.676103,11.10800659,1.82,1.9,1.8,858.2003743,764.3049947,87.72426474,6.17111477
copper rockfish,5,7.358596664,3.652519167,1335.100347,1301.992926,26.18963436,6.917787069,1.65,1,1,822.1940429,789.0866215,26.18963436,6.917787069
bocaccio,6,6.910398456,3.430051131,941.6558071,934.5156479,0.781682653,6.358476578,1.86,0.6,1.3,508.6217079,502.4277677,1.302804422,4.891135829
California scorpionfish,7,6.761743696,3.356264731,834.4943184,834.4943184,NA,NA,2,NA,NA,417.2471592,417.2471592,0,0
yellowtail rockfish,8,6.69258678,3.321937946,788.1693296,288.3970551,161.8063198,337.9659547,1,1.3,1.5,638.1740914,288.3970551,124.4663998,225.3106365
canary rockfish,9,6.665064455,3.308276942,770.3303149,406.9444256,311.3475188,52.03837043,1.78,1.8,1.9,428.9799236,228.6204638,172.9708438,27.38861602
brown rockfish,10,6.189533693,3.072242097,510.6058122,510.3776571,0.228155134,NA,1.45,0.5,NA,352.4409013,351.9845911,0.456310267,0
cabezon,11,5.565553394,2.762522717,282.9431674,155.7045106,105.7864048,21.45225209,1.14,1.5,0.75,235.7101766,136.582904,70.52426986,28.60300278
gopher rockfish,12,5.540725628,2.750199186,276.0018163,276.0018163,NA,NA,1.13,NA,NA,244.3384436,244.2493949,0.089048661,0
olive rockfish,13,5.489187629,2.724617742,262.0380355,261.9997848,0.038250667,NA,1.16,0.8,NA,225.9096968,225.8618834,0.047813333,0
starry rockfish,14,5.144229648,2.553394111,182.7114847,182.7114847,NA,NA,1.1,NA,NA,166.1013497,166.1013497,0,0
squarespot rockfish,15,4.955436554,2.459684614,148.4404827,148.4404827,NA,NA,1.8,NA,NA,82.46693485,82.46693485,0,0
Pacific sanddab,16,4.667605195,2.316816401,106.4573523,104.4361862,2.021166116,NA,0.82,0.5,NA,131.4035349,127.3612027,4.042332232,0
greenspotted rockfish,17,4.489293678,2.228309548,85.74273643,85.74273643,NA,NA,1.37,NA,NA,62.76720719,62.585939,0.181268182,0
China rockfish,18,4.441162439,2.204419086,80.75878782,67.32077112,7.697944429,5.740072271,1.06,1,1,76.94817813,63.51016143,7.697944429,5.740072271
widow rockfish,19,4.379079401,2.173603497,74.68339005,60.39025498,14.29313507,0,1.15,0.7,0.5,72.93202959,52.5132652,20.41876438,0
quillback rockfish,20,4.366232815,2.167226955,73.4743107,39.04793943,26.64979002,7.776581249,0.82,1,1,82.0458096,47.61943832,26.64979002,7.776581249
flag rockfish,21,4.278286881,2.123574038,65.62074417,65.62074417,NA,NA,1.48,NA,NA,44.37635494,44.33834066,0.038014286,0
